shape,Ix,moment_capacity
W36X652,50600,6457
*W40X593,50400,6143
W36X529,39600,5224
*W40X503,41600,5197
*W36X487,36000,4804
*W40X431,34800,4437
W36X441,32100,4332
W27X539,25600,4121
*W40X397,32000,4096
W40X392,29900,3780
W36X395,28500,3911
W40X372,29600,3833
W14X730,14300,3361
W40X362,28900,3727
*W44X335,31100,3702
W33X387,24300,3544
W36X361,25700,3544
W14X665,12400,3018
W40X324,25600,3361
W30X391,20700,3281
W40X331,24700,3176
W33X354,22000,3255
*W44X290,27000,3255
W40X327,24500,3150
W36X330,23300,3255
W40X297,23200,3071
W30X357,18700,2992
W14X605,10800,2729
W36X302,21100,2967
*W44X262,24100,2914
W40X294,21900,2835
W33X318,19500,2914
W40X277,21900,2887
W27X368,16200,2782
W40X278,20500,2677
W36X282,19600,2757
W30X326,16800,2729
W14X550,9430,2444
W33X291,17700,2677
W40X264,19400,2549
W27X336,14600,2552
W24X370,13400,2512
W40X249,19600,2606
*W44X230,20800,2549
W36X262,17900,2552
W30X292,14900,2441
W14X500,8210,2200
W36X256,16800,2349
W33X263,15900,2412
W36X247,16700,2397
W27X307,13100,2328
W24X335,11900,2268
W40X235,17400,2297
*W40X215,16700,2254
W36X231,15600,2242
W30X261,13100,2176
W33X241,14200,2181
W36X232,15000,2124
W27X281,11900,2137
W14X455,7190,1984
W24X306,10700,2071
*W40X211,15500,2064
*W40X199,14900,2022
W14X426,6600,1853
W33X221,12900,1993
W27X258,10800,1955
W30X235,11700,1963
W24X279,9600,1885
W36X210,13200,1888
W14X398,6000,1722
*W40X183,13200,1772
W33X201,11600,1801
W27X235,9700,1777
W36X194,12100,1743
W18X311,6970,1638
W30X211,10300,1745
W24X250,8490,1691
W14X370,5440,1593
W36X182,11300,1635
W27X217,8910,1646
*W40X167,11600,1575
W18X283,6170,1483
W30X191,9200,1575
W24X229,7650,1544
W14X342,4900,1465
W36X170,10500,1526
W27X194,7860,1467
W33X169,9290,1441
W36X160,9760,1423
W18X258,5510,1350
W30X173,8230,1420
W24X207,6820,1393
W14X311,4330,1329
W12X336,4060,1269
*W40X149,9800,1347
W36X150,9040,1323
W27X178,7020,1326
W33X152,8160,1279
W24X192,6260,1290
W18X234,4900,1223
W14X283,3840,1205
W12X305,3550,1142
W21X201,5310,1210
W27X161,6310,1202
W33X141,7450,1175
W24X176,5680,1181
*W36X135,7800,1153
W30X148,6680,1144
W18X211,4330,1100
W14X257,3400,1090
W12X279,3110,1031
W21X182,4730,1094
W24X162,5170,1087
*W33X130,6710,1066
W27X146,5660,1087
W18X192,3870,998
W30X132,5770,998
W14X233,3010,984
W21X166,4280,998
W12X252,2720,927
W24X146,4580,974
*W33X118,5900,942
W30X124,5360,932
W18X175,3450,903
W27X129,4760,906
W14X211,2660,887
W12X230,2420,843
*W30X116,4930,864
W21X147,3630,864
W24X131,4020,864
W18X158,3060,813
W14X193,2400,813
W12X210,2140,767
*W30X108,4470,785
W27X114,4080,785
W21X132,3220,774
W24X117,3540,764
W18X143,2750,741
W14X176,2140,738
*W30X99,3990,706
W12X190,1890,690
W21X122,2960,717
W27X102,3620,700
W18X130,2460,672
W24X104,3100,678
W14X159,1900,667
*W30X90,3610,643
W24X103,3000,643
W21X111,2670,654
W27X94,3270,637
W12X170,1650,616
W18X119,2190,606
W14X145,1710,609
W24X94,2700,583
W21X101,2420,595
*W27X84,2850,559
W12X152,1430,549
W14X132,1530,549
W18X106,1910,535
*W24X84,2370,514
W21X93,2070,504
W12X136,1240,488
W14X120,1380,499
W18X97,1750,493
*W24X76,2100,461
W16X100,1490,460
W21X83,1830,449
W14X109,1240,454
W18X86,1530,436
W12X120,1070,428
*W24X68,1830,404
W16X89,1300,407
W14X99,1110,412
W21X73,1600,397
W12X106,933,380
W18X76,1330,383
W21X68,1480,368
W14X90,999,376
*W24X62,1550,344
W16X77,1110,352
W12X96,833,344
W10X112,716,331
W18X71,1170,334
W21X62,1330,334
W14X82,881,323
*W24X55,1350,299
W18X65,1070,307
W12X87,740,310
W16X67,954,307
W10X100,623,295
W21X57,1170,292
*W21X55,1140,289
W14X74,795,295
W18X60,984,284
W12X79,662,281
W14X68,722,271
W10X88,534,259
W18X55,890,259
*W21X50,984,248
W12X72,597,256
*W21X48,959,243
W16X57,758,242
W14X61,640,242
W18X50,800,233
W10X77,455,225
W12X65,533,231
*W21X44,843,215
W16X50,659,212
W18X46,712,207
W14X53,541,204
W12X58,475,204
W10X68,394,198
W16X45,586,191
*W18X40,612,179
W14X48,484,185
W12X53,425,185
W10X60,341,174
*W16X40,518,170
W12X50,391,168
W8X67,272,158
W14X43,428,164
W10X54,303,158
*W18X35,510,152
W12X45,348,152
W16X36,448,149
W14X38,385,143
W10X49,272,143
W8X58,228,137
W12X40,307,135
W10X45,248,129
W14X34,340,128
*W16X31,375,123
W12X35,285,120
W8X48,184,113
W14X30,291,110
W10X39,209,111
*W16X26,301,101
W12X30,238,101
*W14X26,245,93
W8X40,146,93
W10X33,171,92
*W12X26,204,87
W10X30,170,86
W8X35,127,81
W14X22,199,77
W10X26,144,74
W8X31,110,72
*W12X22,156,66
W8X28,98,63
W10X22,118,62
*W12X19,130,56
W8X24,83,56
W10X19,96,50
W8X21,75,48
*W12X16,103,45
W6X25,53,44
W10X17,82,42
*W12X14,89,39
W8X18,62,41
W10X15,69,36
W6X20,41,35
W8X15,48,32
*W10X12,54,29
W6X16,32,27
W5X19,26,27
W8X13,40,26
W6X15,29,26
W5X16,21,23
*W8X10,31,21
W6X12,22,20
W4X13,11,15
W6X9,16,15
W6X8.5,15,14
